the experiment , which involved treating the coins in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . among the bacteria found on a ten pound note is bacillus mycoides -lrb- shown above -rrb- . it 's common in soil , so it 's likely someone was gardening before handling cash .   the students found thousands of bacteria colonies living on their money .   the money was collected from students at the university of surrey .
lorraine bracco has revealed that the sopranos creator david chase wanted her to play the role of tony 's wife carmela and not dr. jennifer melfi , his psychiatrist .   the oscar nominated actress , 60 , revealed she turned down the starring role alongside james gandolfini in the landmark hbo drama because she had already played a mobster 's wife in goodfellas , nine years previously .   accusing chase of lazy casting , bracco chose instead the complicated role of dr. melfi , who provided the therapy that allowed new jersey mob boss tony soprano to justify many of his monstrous acts .
kevin carr is set to complete his epic 16,300 round-the-world trip tomorrow in devon after 19 months .   now , after covering an estimated 36,000,000 steps over the past 19 months he is just 24 hours from returning to his starting point .   kevin carr set off from haytor on dartmoor in july 2013 and every day since then he has completed on average one and a quarter marathons a day .
the service is available in the us for $ 14.99 -lrb- # 9.90 -rrb- a month , and will includes all past , present and future hbo programming .   it comes as apple is believed to be preparing a new version of the tv box that can run apps for a june launch .   hbo has launched its hbo now channel on the apple tv set-top box , iphone and ipad ahead of the series premiere of hbo hit show game of thrones on april 12 .
before the campaign heats up : hillary clinton 's aide huma abedin -lrb- left -rrb- was spotted grabbing a mexican lunch with husband anthony weiner and three-year-old son jordan at quaint tortaria in new york on saturday .   it is just a few days after abedin and clinton were spotted , sunglasses on , in an iowa branch of fast food favorite chipotle .   their chipotle lunch became a media storm .
stevie mccrorie has been crowned the winner of the voice uk 2015 , after beating fellow contestant lucy o'byrne in the final .   leanne mitchell , the first ever winner of the voice uk , has been dropped by her record label and now works as a holiday camp performer . the very job she was hoping to leave behind when first auditioning for the show .   now mentor ricky wilson , his fellow celebrity judges rita ora , tom jones and will.i.am , and most of all bosses at the bbc will all have their fingers crossed for his success .
dundee united striker nadir ciftci celebrated a goal by blowing a kiss at opposition goalkeeper scott bain , but the turkish midfielder was the one left blushing as his side lost away at rivals dundee .   former portsmouth ace ciftci briefly levelled the scores at dens park when he slotted home a penalty after greg stewart had given the hosts the lead .   however , dundee regained the lead in the 23rd minute when stewart 's corner was met by mcpake , who rose above jaroslaw fojut head past cierzniak from six yards .
that 's a wrap - mercedes-benz fashion week australia came to a close on thursday night in sydney , with the johanna johnson show bringing the event to a spectacular close with her hollywood-inspired sirens ' call presentation .   make-up trends and accessories threatened to overshadow many of the designs being showcased , with stylists going over the top to stand out with head pieces , masks and other adornments bordering on the ridiculous .   metallics .
prior is chief executive of the one pro cycling team that has been confirmed in the list of entrants for the inaugural tour de yorkshire which will run over three stages starting in bridlington on may 1 .   matt prior 's one pro cycling team has been confirmed in the list of entrants for the first tour de yorkshire .   the one pro team in yorkshire on monday to do a recce of stage two of the elite event in england .
finn admits he 's ` had my trials and tribulations over the last 12 months ' but he 's got his ` head straight '   steven finn believes he 's regained his previous best form and is ready to push for an england place .   finn 's form return comes at a good time as england 's fast bowling stocks are starting to worry selectors .
the designer revealed in february that he would not be presenting a collection at the sydney event this week , and revealed to daily mail australia on sunday that he was enjoying ` taking a breather ' .   usually a highlight of mercedes-benz fashion week australia , alex perry 's name is a notable absence from the schedule in 2015 .   despite this year marking the 20th anniversary of mbfwa , perry is taking in the fashions from the comfort of the front row , after focusing on his international efforts of late .
more than a dozen people were injured on thursday night after a stage collapsed during an indiana public high school theater performance , sending students plummeting 10 feet into an orchestra pit .   one of the victims suffered critical head trauma as the stage fell half-way through a song during a sold-out showing of american pie at westfield high school .   terrible : tragedy struck thursday night at an indiana high school 's performance of the musical american pie .
brendan rodgers says that a move to manchester city would not be step up for raheem sterling .   sterling is wanted by manchester city this summer for # 50million as he stalls over new contract .   this summer , liverpool will also try to sign james milner from city .
the revelations come after the royal china club , a restaurant in central london , was raided by inspectors after boasting of selling shark fin soup and another dish made from ground shark teeth .   charity bite-back , which campaigns to protect sharks , reported the eatery after jason chan , its marketing manager , boasted that it sold the soup and another dish made with ground shark teeth .   the loophole came to light after trading standards officers raided restaurant the royal china club , on baker street in central london , and confiscated illegally imported fins .
the australian airline could also be facing a massive # 20,000 fine , that 's more than au$ 38,000 , for every time the a380 flights set down more than fifteen late on the english tarmac .   qantas have slipped to an on time ranking of 75 out of 80 airlines that use heathrow airport .   heathrow airport are threatening to strip qantas of their eight valuable landing spots after they continually arrived late , according to internal memos .
wheelchair-bound christopher starrs , 50 , was allowed to go free from court with just a suspended jail sentence in january after admitting his part in a two-and-a-half year con against his employer bt .   starrs , along with fellow bt openreach manager phillip tamplin , invented clamped cars , overtime hours and damage to home owners ' property during broadband installation , and paid off engineers to help them make the fake claims .   however , senior judge nicholas cooke qc has now said the sentence was ` unlawful ' - and added starrs should have been sent to prison for his crimes .
carl froch -lrb- left -rrb- has not fought since beating george groves at wembley last may .   froch had hoped to meet julio cesar chavez jr , but he lost to andrzej fonfara last week .   froch has kept in shape and weighs 12st 7lbs - despite being away from the ring for nearly a year now .
the clip was filmed on saturday in shortandy village , 40 miles north of the capital astana , and captures the cloud hovering in the sky for 15 minutes before suddenly vanishing without trace .   the video has been viewed more than 50,000 times since being uploaded to youtube , prompting all manner of bizarre explanations for the phenomenon - with many seemingly convinced it is definitive proof of extra-terrestrial life .   confused locals watched the mysterious cloud hover ominously over shortandy for a quarter of an hour on saturday morning before it vanished as quickly as it appeared .
