-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal .   Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls .   While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .
A married couple who thought they would never be able to have children are celebrating after welcoming triplets - born three years apart thanks to IVF .   Denise and Glen Higgs , from Braunton , Devon , had all but lost hope that they would ever be able to conceive after Glen was made infertile due to cancer treatment .   But using his frozen sperm , doctors successfully created eight embryos through IVF fertility treatment and the couple had a daughter Mazy , born three years ago .   The couple tried again using the same batch and Denise gave birth to twins Carter and Carson last week .
The bright yellow gatso had previously enforced the 30mph speed limit for motorists along the residential road in Handsworth , Birmingham .   However , it has not been working for two years after every single fixed device was switched off in the West Midlands .   Around 300 speed and traffic camera , using old technology , were turned off across the region in March 2013   Mystery surrounds who had re-pointed the camera , but a spokesman for Birmingham City Council said they were aware of it .
An 18-year-old University of Carolina freshman who was found dead after a St Patrick 's Day party died of alcohol poisoning in a ` tragic and totally preventable death ' , a coroner has ruled .   Charles Terreni Jr was four times over the legal alcohol limit when he died , an autopsy has found .   He was found at the Pi Kappa Alpha house in Columbia , not far from campus , around 10:30 am on March 18 , the morning after an alleged ` kegger ' at the house for the annual Irish holiday .   He is the son of Columbia attorney Charles Terreni , a former staff member for then-Lt .
A Saudi prince has promised to give a free Bentley to every pilot involved in the Yemen air strikes , as bombing raids in the country appeared to resume despite a pledge that they would stop .   Saudi Arabian forces launched air strikes on Yemen a month ago to stop advances from the Shiite Houthi rebels , who are allied with Iran and previously overthrew the Saudi-backed government .   Prince Alwaleed Bin Talal , the Saudi King Abdullah 's nephew , has reportedly promised to give each of the 100 fighter pilots involved in the month long raids in Riyadh , the Saudi Arabian capital , a free Bentley .   Prince Talal , who owns $ 300 million stake in Twitter , apparently made the pledge on social media but the post has since been deleted , the International Business Times reported .
A shocking surveillance video showing a mob of teenagers beating two high school students on a subway platform has been released .   The footage captured at Spring Garden station in Philadelphia on Tuesday shows the group of youngsters viciously attacking the victims just seconds before the train pulls into the station .   They then pull them to the ground , punch them and repeatedly stamp on their heads .   The brawl , involving students from Benjamin Franklin High School , even spilled onto the tracks , with one person falling onto the line during the confrontation .
On Sunday , 36,000 runners took to the streets of London for the 26.2 mile Virgin Money London Marathon .   For one couple however , these streets became a 26 mile aisle where they exchanged vows en route .   Cancer Research UK runners Paul and Laura Elliott decided to do something different for their wedding day and combined their love for running and their love for each other , whilst also raising vital funds for a charity very close to their hearts .   Unfortunately Paul , 41 , lost his father to bowel cancer 19 years ago and so by running this weekend 's marathon , the couple have raised # 7,000 so far to help honour his memory on this special day .
But for Nasr Bitar , it was his time to shine .   The college student spotted the car on the streets of Mississauga , Canada , last autumn and began following in his own vehicle .   To get the all important ` selfie ' - and make an appearance on the Street View map .   Having figured out the pattern the Street View car was following , Nasr parked his car , jumped out and got in position - just in time to take the snap .
Rory McIlroy is looking to join an elite group this week at the tender age of 25 years old when he tries to complete his career grand slam by winning the Masters .   The Northern Irishman heads to the Augusta National heavily favoured to win the coveted green jacket for the first time in his career after coming close on more than one previous occasion .   Only five men have won all four of golf 's majors in the Masters era , those being Jack Nicklaus , Tiger Woods , Ben Hogan , Gary Player and Gene Sarazen .   The 25-year-old looked in good spirits on Wednesday when he was caddied by One Direction superstar Niall Horan and shot one under par in the traditional Par-3 Contest .
Former Sunderland defender Danny Higginbotham has described a controversial speech made by Roy Keane which he calls ` one of the most bizarre team talks I 've ever experienced ' .   Higginbotham and his Black Cats team-mates were about to take on Aston Villa during the 2007-08 Premier League season when Keane sat them down in the home changing room at the Stadium of Light .   But instead of encouraging his players to put their poor start to the season behind them , the former Manchester United midfielder delivered an astonishing team talk .   In his new autobiography Rise Of The Underdog : My Life Inside Football , Higginbotham - who scored in Sunderland 's 1-1 draw with Villa that day - describes Keane 's attempt to motivate his players . ''
A four-poster bed which was dumped in a hotel car park and sold for # 2,200 has been verified as once belonging to King Henry VII -- and it could now be worth millions .   The intricately-carved ornate bed was left in the car park of the former Redland House Hotel in Hough Green , Chester , by builders who were renovating the property .   Oblivious to its true value and historical significance , the construction workers dismantled the piece of oak wood furniture and left it to be picked up by auctioneers .   It was snapped up for # 2,200 in 2010 by Ian Coulson , a four-poster bed specialist from Northumberland who spotted the item , which was listed as 19th-century gothic revival , on the internet .
-LRB- CNN -RRB- On the surface , the mix-up seems incomprehensible : How can a volunteer sheriff 's deputy accidentally fire a handgun instead of a Taser , killing a man ?   That 's apparently what happened in Tulsa , Oklahoma , when a 73-year-old reserve deputy , Robert Bates , killed Eric Harris .   In a well-publicized 2009 case , a Bay Area Rapid Transit police officer fired his gun instead of his Taser , killing 22-year-old Oscar Grant in Oakland , California .
Justin Bieber was reportedly placed in a chokehold by security and booted from the Coachella music festival over the weekend .   The 21-year-old singer argued with security after being stopped at the artists ' entrance where Drake was performing at the event in Indio , California .   A video obtained by TMZ appears to shows Bieber being put in a chokehold and escorted from the area .   The drama unfurled on Sunday night when the Canadian pop star and his entourage tried to gain entry to Drake 's gig .
Former Everton chairman Sir Philip Carter has died aged 87 .   Carter also served as president of the Football League and a vice-president of the Football Association but it is as chairman of Everton throughout the 1980s that he will be remembered .   Under his stewardship , the club won two league titles , an FA Cup and the European Cup Winners ' Cup , which is still the Toffees ' only piece of continental silverware .   ` Sir Philip died peacefully at home on Thursday morning after a short illness .
A pair of border collies were caught on camera performing a balancing act .   Using a human as their base , pooches Ace and Holly stood up high on their hind legs , with their front paws up .   The brief clip , set to ` Les Toreadors ' from ` Carmen , ' first shows a man , identified as their owner and trainer Dai Aoki , lying on the ground with 22-month-old Ace on his lap .   Soon , Aoki puts his legs in the air - and 28-month-old Holly hops on .
A teenager from Illinois is tackling her disability head-on and attempting to positively influence thousands of others by dancing .   Dayna Dobias , 19 , from Downers Grove was born with cerebral palsy , but she hopes to inspire others with her enthusiastic videos .   The teenager says her motivation for creating the video was to counteract stereotypes held by people over certain disabilities .   This is one of several videos that Dayna has created .
Police say they have no objections to the late afternoon kick-off for Sunday 's Manchester derby at Old Trafford .   With plenty at stake for both United and City -- both sides are challenging for a top-four spot in the Premier League -- some may feel that the 4pm start could be unwise as it allows supporters more time in the pub .   However , the man in charge of patrolling the sell-out clash has no such fears .   Chief Superintendent John O'Hare says the kick-off was agreed by all parties and revealed that the decision is down to good behaviour from supporters of each side .
Mustafa Kamal resigned as ICC president on Wednesday , accusing India of influencing the outcome of the Cricket World Cup quarter-final against Bangladesh .   ` From now on , I am a former president of the ICC .   Kamal , also president of the Bangladesh Cricket Board , criticised the umpires in the quarter-final , and questioned their partiality , over a disputed no-ball against India batsman Rohit Sharma .   Kamal said he spoke as a fan , and not the president , but International Cricket Council chief executive Dave Richardson termed the criticism as ` unfortunate . '
Unbeaten Floyd Mayweather faces more pressure than Manny Pacquiao when the pair meet in Las Vegas on May 2 but he will still be victorious , says Joe Calzaghe .   It is being billed as The Fight of the Century , and is worth at least $ 180million and $ 120m to Mayweather and Pacquiao respectively , but former undefeated world super-middleweight and light-heavyweight boxing champion Calzaghe is confident he can predict the outcome .   ` There will be a lot more pressure on Mayweather than there will be on Pacquiao , ' he told BBC Sport .   The Welshman , who is now 43 , retired with an undefeated record of 46 wins and zero defeats .
Council chiefs were condemned last night after claiming it was too dangerous to collect the roadside litter blighting Britain .   Winchester Council in Hampshire said its annual clean-up of roads around the city had been hit by new Health and Safety Executive rules designed to protect litter-pickers from traffic .   But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation .   Last night , former Poet Laureate Sir Andrew Motion , now president of the Campaign to Protect Rural England , accused town hall bosses and the Highways Agency of ruining the countryside by failing to remove rubbish .
Wannabe chefs with their eye on a career as the next Gordon Ramsay or Jamie Oliver should take note - it does n't have to cost a fortune .   The new winner of Masterchef Simon Wood , who won the title last Friday , has n't been on a single cookery course or even had one lesson .   Everything the 38 year old knows about cooking is self-taught - learnt form reading recipe books or watching television shows .   While Simon , who lives in Oldham , learns about his cooking from reading and watching programmes , he sharpens his skills by practicing on his four children - Liam , 20 , Alex , 18 , Cameron , 16 , and Charlotte , seven .
With the Premier League season entering its final stretch , focus is now turning to the summer transfer window .   Many clubs will be looking to snap up a bargain free transfer and there are plenty to choose from .   Here are best players who are currently set to leave their Premier League clubs on a free in June .   At 36 years old , he is no spring chicken , but Tremmel could prove a useful acquisition for a newly-promoted side .
A high school student and her best friend , who has Down syndrome , have become an internet sensation after making a bold statement with their prom photo , which not only celebrated their friendship - but spread an important message .   Matt Pliska , who is also a survivor of leukemia , asked Mikenzy Snell to be his prom date last year , and on their big night , the juniors from Waupaca , Michigan , made an emotional statement when they were photographed holding a sign that read : ` Real friends do n't count chromosomes ' , referring the fact that Down syndrome occurs when an individual has an extra copy of chromosome 21 . '   Since the news outlet first shared the heartwarming picture of Matt and Mikenzy on its Facebook page on March 30 , more than 15,000 people have liked the image , ensuring that their prom night will be one that they never forget .   Before prom , Mikenzy took it upon herself to make sure that Matt had the opportunity to be elected onto prom court .
A Florida man wanted as a suspect in the murder of his own mother has been on the run from police since Saturday .   Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother Sandra Shemansky , 57 , was found dead at the home they shared in Winter Garden .   The body was discovered at the West Colonial Drive home when an out-of-state family member called in a well-being check .   He is already on parole for battery on law enforcement , has a history of bipolar mental illness , and was involuntarily committed to a psychiatric ward for an attempted suicide .
Thomas Muller became the leading German scorer in the Champions League on Tuesday night and engaged in a raucous exchange with Bayern Munich supporters as Pep Guardiola 's side celebrated a famous win .   Muller , 25 , netted the fourth goal of Bayern 's 6-1 demolition of Porto in the second leg of the Champions League quarter-final at the Allianz Arena to secure their place in the last four .   It was the World Cup winner 's 27th Champions League goal , taking him past former Bayern team-mate Mario Gomez and making him the highest-scoring German since the tournament took its current shape in 1992 .   But five first-half goals by Thiago Alcantara , Jerome Boateng , Robert Lewandowski -LRB- two -RRB- and Muller ensured Bayern 's safe passage into the semi-final .
A Sicilian Mafia fugitive dubbed the Godfather of Uxbridge who was set to be extradited to Italy will be allowed to remain in the UK after his sentence was dropped .   Domenico Rancadore , who has lived in Britain for more than 20 years , was given a seven-year sentence by an Italian court in 1999 for being a member of the Cosa Nostra .   In February he lost his year-and-a-half battle against extradition and was told he must return to Italy to serve his sentence .   But today it emerged that the 65-year-old 's case expired last October and his European Arrest Warrant is to be withdrawn .
Baron the German Shepherd was filmed as he helped get the dishes done at home in California .   Footage shows the pup reaching up and grabbing rinsed goods between his teeth from the sink , before loading them into the dishwasher .   Once he 's put an item in the machine , Baron patiently waits for another to be rinsed by his owner .   Baron was professionally trained at the Hill Country K9 school .
Fashion-conscious militants fighting for the Islamic State in Syria have been dealt a blow after their commanders banned them wearing products made by Nike .   The sports brand features prominently on a leaflet distributed in the terror group 's de facto capital Raqqa warning ISIS jihadis about items of clothing they are no longer allowed to wear .   The news comes shortly after one militant decried the popularity of Nike among ISIS fighters , comparing the brand 's name and famous ` tick ' logo to wearing a Christian cross .   Images of the leaflet banning Nike clothing was shared online by the activist group Raqqa is Being Slaughtered Silently who translated it from Arabic .
Lorraine Bracco has revealed that The Sopranos creator David Chase wanted her to play the role of Tony 's wife Carmela and not Dr. Jennifer Melfi , his psychiatrist .   The Oscar nominated actress , 60 , revealed she turned down the starring role alongside James Gandolfini in the landmark HBO drama because she had already played a mobster 's wife in Goodfellas , nine years previously .   Accusing Chase of lazy casting , Bracco chose instead the complicated role of Dr. Melfi , who provided the therapy that allowed New Jersey mob boss Tony Soprano to justify many of his monstrous acts .   Speaking about the untimely death of James Gandolfini in 2013 , Bracco said his passing was devastating and a wake up call .
A British barman is set to enter the record books after running 16,300 miles around the globe over 621 days while wearing out 16 pairs of shoes .   Kevin Carr set off from Haytor on Dartmoor in July 2013 and every day since then he has completed on average one and a quarter marathons a day .   Now , after covering an estimated 36,000,000 steps over the past 19 months he is just 24 hours from returning to his starting point .   The 35-year-old from Woolacombe in Devon is currently in his home county and is due to complete his 16,300-mile epic journey on Thursday .
Ed Miliband 's US adviser pays no tax in Britain on his reported # 300,000 salary , he has admitted .   David Axelrod masterminded two presidential election victories for Barack Obama and was hired by the Labour leader amid great fanfare last year .   He has helped refine Mr Miliband 's message about tackling the cost of living and making sure the wealthy pay their fair share .   And he will have been aware of Labour 's eye-catching crackdown on non-doms last week .
HBO has launched its HBO NOW channel on the Apple TV set-top box , iPhone and iPad ahead of the series premiere of HBO hit show Game of Thrones on April 12 .   The service is available in the US for $ 14.99 -LRB- # 9.90 -RRB- a month , and will includes all past , present and future HBO programming .   It comes as Apple is believed to be preparing a new version of the TV box that can run apps for a June launch .   The announcement comes weeks after Apple cut the price of its Apple TV device from $ 99 -LRB- # 65 -RRB- to $ 69 -LRB- # 45 -RRB- in an effort to make it competitive with the likes of Google Chromecast .
